cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"NÉMÓ NYOMÁBAN","FINDING NEMO",INTERCOM,2003/11/20,283469557,403223
"NAGYFIÚK 2","GROWN UPS 2",INTERCOM,2013/07/18,283295549,219266
"SHANG-CHI ÉS A TÍZ GYŰRŰ LEGENDÁJA","SHANG-CHI AND THE LEGEND OF THE TEN RINGS ",FORUM,2021/09/02,282991065,168028
"TAXI 2",,INTERCOM,2001/03/01,282750054,436584
"HUPIKÉK TÖRPIKÉK 2","SMURFS 2",INTERCOM,2013/08/01,281794707,220586
"READY PLAYER ONE ","READY PLAYER ONE",INTERCOM,2018/03/29,281711284,173646
LUCY,LUCY,"UIP DUNA FILM",2014/08/07,280439713,217443
"MI KELL NŐNEK?",,INTERCOM,2001/03/29,279955930,421838
"TÚL A SÖVÉNYEN","OVER THE HEDGE","UIP DUNA FILM",2006/07/06,279028866,352231
"AMERIKAI PITE",,INTERCOM,1999/12/02,278659342,537102
"A HANGYA ÉS A DARÁZS","ANT-MAN AND THE WASP","FÓRUM HUNGARY",2018/07/26,278651319,189020
"BARÁTNŐT FELVESZÜNK","NO HARD FEELINGS ",INTERCOM,2023/06/22,277732148,138856
"CSAJOK BOSSZÚJA, A","OTHER WOMAN, THE",INTERCOM,2014/04/24,276229967,212470
"HOLNAP HATÁRA, A","EDGE OF TOMORROW (ALL YOU NEED IS KILL)",INTERCOM,2014/05/29,275930369,182913
"MEN IN BLACK - SÖTÉT ZSARUK 3.","MEN IN BLACK 3.",INTERCOM,2012/05/24,275611549,194193
"MÚLT KARÁCSONY","LAST CHRISTMAS","UIP DUNA FILM",2019/11/07,275051718,192354
"PÓKEMBER – HAZATÉRÉS","SPIDER-MAN: HOMECOMING",INTERCOM,2017/07/06,274439291,187801
"MIÉRT PONT Ő?","WHY HIM ?",INTERCOM,2016/12/22,273451347,197474
"PAPPA PIA","PAPPA PIA",INTERCOM,2017/08/15,273211222,211582
"SZEX ÉS NEW YORK","SEX AND THE CITY 2",INTERCOM,2010/05/27,272433075,245356
"MR. ÉS MRS SMITH","MR. & MRS. SMITH","FÓRUM HUNGARY",2005/07/14,272177884,303327
"MISSION:IMPOSSIBLE - TITKOS NEMZET","MISSION:IMPOSSIBLE ROUGE NATION","UIP DUNA FILM",2015/08/06,271732137,197451
"PEARL HARBOR",,INTERCOM,2001/08/09,271645273,395044
"MEG - AZ ŐSCÁPA","THE MEG",INTERCOM,2018/08/09,270747456,171168
"ÜVEGTIGRIS 2.",,"BUDAPEST FILM",2006/01/19,268427194,304021
"BÉBI ÚR","BOSS BABY",INTERCOM,2017/04/13,267933083,203615
"JURASSIC PARK 3.",,"UIP DUNA FILM",2001/09/06,267697655,379066
FERRARI,FERRARI,FORUM,2023/12/28,267608904,113590
"A NAGY FAL","GREAT WALL","UIP DUNA FILM",2017/01/05,266920482,177776
RIO,RIO,INTERCOM,2011/04/21,266814750,216964
FEL,UP,"FÓRUM HUNGARY",2009/10/15,266185631,216825
"AZ APÁCA 2","THE NUN 2",INTERCOM,2023/09/07,266032244,127280
2012,,INTERCOM,2009/11/12,265513725,229870
"DJANGO ELSZABADUL","DJANGO UNCHAINED",INTERCOM,2013/01/17,265500979,204063
SORSTALANSÁG,SORSTALANSÁG,INTERCOM,2005/02/10,265034636,449724
"MACSKAFOGÓ 2. - A SÁTÁN MACSKÁJA",,"BUDAPEST FILM",2007/12/20,264947233,290088
ÖRÖKKÉVALÓK,"ETERNALS ",FORUM,2021/11/04,264639768,173754
"APÁDRA ÜTÖK",,"UIP DUNA FILM",2001/01/25,262732354,398608
DUNKIRK,DUNKIRK,INTERCOM,2017/07/20,262224915,182113
"SHERLOCK HOLMES","SHERLOCK HOLMES",INTERCOM,2010/01/07,261719530,227192
"AZ ÉHEZŐK VIADALA: ÉNEKESMADARAK ÉS KÍGYÓK BALLADÁJA","THE HUNGER GAMES: THE BALLAD OF SONGBIRDS AND SNAKES",FORUM,2023/11/16,261235527,120372
SHREK,,"UIP DUNA FILM",2001/06/21,260895123,429170
"HUPIKÉK TÖRPIKÉK",SMURFS,INTERCOM,2011/08/25,260131182,216225
"EGYSZERŰEN BONYOLULT","ITS COMPLICATED","UIP DUNA FILM",2009/12/24,258537330,225400
"JOHN WICK: 3. FELVONÁS - PARABELLUM","JOHN WICK 3: PARABELLUM",FREEMAN,2019/05/16,258385449,169167
"VÖRÖS VERÉB","RED SPARROW","FÓRUM HUNGARY",2018/03/01,257864786,172094
"MEGJÖTT APUCI 2","DADDY'S HOME 2","UIP DUNA FILM",2017/12/07,255554425,186215
"HATODIK ÉRZÉK",,INTERCOM,2000/01/06,255071156,480042
"TÖRBE EJTVE","KNIVES OUT",FREEMAN,2020/01/02,254803263,156170
"DIE HARD 4 -LEGDRÁGÁBB AZ ÉLETED","LIVE FREE OR DIE HARD",INTERCOM,2007/06/28,254012765,257564
APRÓLÁB,SMALLFOOT,INTERCOM,2018/09/27,252039089,193653
"CLIFFORD, A NAGY PIROS KUTYA","CLIFFORD THE BIG RED DOG ",UIP,2021/12/23,251581329,163144
"ÍGY NEVELD A SÁRKÁNYODAT","HOW TO TRAIN YOUR DRAGON","UIP DUNA FILM",2010/03/25,250521649,205189
"KINGSMAN: AZ ARANYKÖR","KINGSMAN: THE GOLDEN CIRCLE","FÓRUM HUNGARY",2017/09/21,249708355,181222
"AZ ÉHEZŐK VIADALA: FUTÓTŰZ","THE HUNGER GAMES: CATCHING FIRE","FÓRUM HUNGARY",2013/11/21,248413721,186920
"BECSTELEN BRIGANTIK","INGLOURIOUS BASTERDS","UIP DUNA FILM",2009/08/20,248266649,247140
SHAZAM!,SHAZAM!,INTERCOM,2019/04/04,247443250,157373
"MEGFOJTOTT VIRÁGOK","KILLERS OF THE FLOWER MOON",UIP,2023/10/19,245352373,124912
"THOR ","THOR: THE DARK WORLD","FÓRUM HUNGARY",2013/11/14,245151015,170211
"JOHNNY ENGLISH ÚJRA LECSAP","JOHNNY ENGLISH STRIKES AGAIN","UIP DUNA FILM",2018/09/20,244636705,180571
"VEGYÉL EL","MARRY ME ",UIP,2022/02/10,244167577,143551
"KUNG FU PANDA 2.","KUNG FU PANDA 2.","UIP DUNA FILM",2011/06/11,242779224,192692
EVEREST,EVEREST,"UIP DUNA FILM",2015/09/17,242497942,164452
"HIVATALI KARÁCSONY","OFFICE CHRISTMAS PARTY",FREEMAN,2016/12/08,242413606,176601
TED,TED,"UIP DUNA FILM",2012/08/23,242228323,203008
"AMERIKA KAPITÁNY: A TÉL KATONÁJA","CAPTAIN AMERICA: THE WINTER SOLDIER","FÓRUM HUNGARY",2014/04/10,241871939,163640
"AZ ÖT LEGENDA","RISE OF THE GUARDIANS","UIP DUNA FILM",2012/11/29,241801082,193071
KAVARÁS,"BLENDED (AKA FAMILYMOON)",INTERCOM,2014/07/03,240811463,187047
CROODÉK,CROODS,INTERCOM,2013/03/21,239571549,176747
"CROODÉK: EGY ÚJ KOR","THE CROODS 2 ",UIP,2021/07/22,239410890,163279
"SZÖRNY RT.",,INTERCOM,2002/02/14,239261028,355518
SZÉTTÖRVE,SPLIT,"UIP DUNA FILM",2017/01/19,238924317,171175
"MI:2 ",,"UIP DUNA FILM",2000/07/06,238768514,404912
SZEMFÉNYVESZTŐK,"NOW YOU SEE ME",PROVIDEO,2013/06/13,238589425.5,179545
"TED 2","TED 2","UIP DUNA FILM",2015/07/16,237647532,184902
NOÉ,NOAH,"UIP DUNA FILM",2014/03/27,236968189,159377
"KALIFORNIAI ÁLOM","LA LA LAND",FREEMAN,2016/12/29,236454127,173223
"EGY KUTYA HAZATÉR","A DOG'S WAY HOME",INTERCOM,2019/01/10,236452442,175543
"VALERIAN ÉS AZ EZER BOLYGÓ VÁROSA","VALERIAN AND THE CITY OF A THOUSAND PLANETS","BIG BANG MEDIA",2017/07/20,235883172,149653
"BARRY SEAL: A BESZÁLLÍTÓ","AMERICAN MADE","UIP DUNA FILM",2017/08/31,235736373,165043
"AZ ELVESZETT VILÁG",,"UIP DUNA FILM",1997/09/25,234571870,756660
"X-MEN: AZ ELJÖVENDŐ MÚLT NAPJAI","X-MEN: DAYS OF FUTURE PAST",INTERCOM,2014/05/22,234293402,164547
"ALIEN: COVENANT","ALIEN: COVENANT",INTERCOM,2017/05/18,234044721,158500
"OCEAN'S 8 - AZ ÉVSZÁZAD ÁTVERÉSE","OCEAN'S 8",INTERCOM,2018/06/21,233775120,164803
"TOMB RAIDER","TOMB RAIDER","FÓRUM HUNGARY",2018/03/15,233720235,147682
"DC SZUPERÁLLATOK LIGÁJA","DC LEAGUE OF SUPER-PETS",INTERCOM,2022/07/28,233433827,145463
"A VÉDELMEZŐ 3.","THE EQUALIZER 3.",INTERCOM,2023/08/31,232891060,110247
"EGY SZOKNYA, EGY NADRÁG","EGY SZOKNYA, EGY NADRÁG","BEST HOLLYWOOD",2005/10/20,232437901,268108
"SZÖRNY EGYETEM","MONSTERS UNIVERSITY","FÓRUM HUNGARY",2013/06/27,232030872,179129
"BAZI NAGY GÖRÖG LAGZI 3.","MY BIG FAT GREEK WEDDING 3",UIP,2023/09/07,231757842,118749
"TOY STORY 3 ","TOY STORY 3 3D","FÓRUM HUNGARY",2010/06/17,230976757,186590
SZEXVIDEÓ,"SEX TAPE",INTERCOM,2014/07/31,230941689,181916
"DIE HARD - DRÁGÁBB, MINT AZ ÉLETED ( 5 )","A GOOD DAY TO DIE HARD ( 5 )",INTERCOM,2013/02/14,230304670,171327
"TERMINATOR GENISYS","TERMINATOR GENISYS","UIP DUNA FILM",2015/07/02,230005686,154065
"FÖRTELMES FŐNÖKÖK","HORRIBLE BOSSES",INTERCOM,2011/07/28,229266991,190419
"ASTERIX&OBELIX:A KLEOPÁTRA-KÜLDETÉS",,"UIP DUNA FILM",2002/08/22,229171023,311617
"CREED III.","CREED III",INTERCOM,2023/03/02,229002658,110247
"A SÖTÉT LOVAG","THE DARK KNIGHT",INTERCOM,2008/08/07,228629312,225324
KÜLÖNVÉLEMÉNY,,INTERCOM,2002/09/12,227566958,269143
"HALJ MEG MÁSKOR","JAMES BOND-DIE ANOTHER DAY",INTERCOM,2002/12/19,226771925,265501
"G-FORCE - RÁGCSÁVÓK",G-FORCE,"FÓRUM HUNGARY",2009/08/20,226080885,207899
"A RANDIGURU",HITCH,INTERCOM,2005/03/10,225644460,249480
"ALITA: A HARC ANGYALA","ALITA: BATTLE ANGEL","FÓRUM HUNGARY",2019/02/14,222554146,133986
KÖLCSÖNLAKÁS,KÖLCSÖNLAKÁS,INTERCOM,2019/02/13,221727873,153633
"A MÚMIA",MUMMY,"UIP DUNA FILM",2017/06/08,221579006,146587
"WONDER WOMAN","WONDER WOMAN",INTERCOM,2017/06/01,221551073,148041
"TOY STORY 4","TOY STORY 4","FÓRUM HUNGARY",2019/06/20,220807018,158974
"AZ IGAZSÁG LIGÁJA","JUSTICE LEAGUE",INTERCOM,2017/11/16,220610449,144695
"SOS SZERELEM",,"BEST HOLLYWOOD",2007/02/14,219909301,238933
"TRANSFORMERS 2","TRANSFORMERS 2","UIP DUNA FILM",2009/06/23,219518560,211602
"TRANSFORMERS: AZ UTOLSÓ LOVAG","TRANSFORMERS: THE LAST KNIGHT","UIP DUNA FILM",2017/06/22,218949073,146980
"IGAZÁBÓL SZERELEM","LOVE ACTUALLY","UIP DUNA FILM",2003/12/04,218738063,359287
"BAD BOYS 2-MÁR MEGINT A ROSSZ FIÚK","BAD BOYS 2",INTERCOM,2003/10/09,218729386,260509
PÓKEMBER,,INTERCOM,2002/06/13,218219889,295444
"MIKE ÉS DAVE ESKÜVŐHÖZ CSAJT KERES","MIKE AND DAVE NEED WEDDING DATES",INTERCOM,2016/07/07,217391963,163776
"EGY KIS SZÍVESSÉG","A SIMPLE FAVOR",FREEMAN,2018/09/13,217208150,153585
"JOHNNY ENGLISH","JOHNNY ENGLISH","UIP DUNA FILM",2003/04/10,216608203,286606
T4XI,T4XI,SPI,2007/04/05,215912088,221854
"DR.DOLITTLE 2",,INTERCOM,2001/08/16,215151807,325081
"MINISZTER FÉLRELÉP",,INTERCOM,1998/12/11,214712352,662505
"NAGY GATSBY","GREAT GATSBY",INTERCOM,2013/05/16,214503375,149738
"DEMÓNA ",MALEFICENT,"FÓRUM HUNGARY",2014/06/05,214182390,152609
"ROSSZ SZOMSZÉDSÁG","BAD NEIGHBORS","UIP DUNA FILM",2014/05/15,213870766,167242
"HALÁLOS IRAMBAN 6.","FAST AND FURIOUS 6","UIP DUNA FILM",2013/05/23,213783228,166323
"MADE IN HUNGÁRIA",,"BUDAPEST FILM",2009/02/05,212991016,224905
"LOPOTT IDŐ","IN TIME",INTERCOM,2011/10/27,212764378,177605
"SZAKITS HA BÍRSZ","THE BREAK UP","UIP DUNA FILM",2006/06/29,212648044,239236
"ASSASSINS CREED","ASSASSINS CREED",INTERCOM,2016/12/29,212349585,147692
"UTÓDOMRA ÜTÖK","LITTLE FOCKERS","UIP DUNA FILM",2010/12/23,212074535,188876
"Z VILÁGHÁBORÚ","WORLD WAR Z","UIP DUNA FILM",2013/06/27,211765286,146586
"CSILLAG SZÜLETIK","A STAR IS BORN",INTERCOM,2018/10/04,210790117,149827
NAGYKARÁCSONY,NAGYKARÁCSONY,INTERCOM,2021/11/25,210475421,130601
"ANNABELLE 2. - A TEREMTÉS","ANNABELLE 2: THE CREATION",INTERCOM,2017/08/10,210411323,148242
ÉRKEZÉS,ARRIVAL,INTERCOM,2016/11/10,210230211,146357
"A FÜGGETLENSÉG NAPJA",,INTERCOM,1996/10/24,210128656,778475
VERDÁK,CARS,"FÓRUM HUNGARY",2006/06/15,210030076,266899
"GYILKOSSÁG AZ ORIENT EXPRESSZEN","MURDER ON THE ORIENT EXPRESS ","FÓRUM HUNGARY",2017/11/09,209675639,151195
"300: A BIRODALOM HAJNALA  ","300: RISE OF THE EMPIRE       ",INTERCOM,2014/03/06,209576730,142672
"SZÁRNYAS FEJVADÁSZ 2049","BLADE RUNNER 2049",INTERCOM,2017/10/05,209175320,139499
"TERHES TÁRSASÁG","DUE DATE",INTERCOM,2010/11/04,209159728,186421
"AZ UTOLSÓ LÉGHAJLÍTÓ ","THE LAST AIRBENDER","UIP DUNA FILM",2010/07/29,207959915,156952
ESCOBAR,"LOVING PABLO","BIG BANG MEDIA",2018/07/26,207578761,142018
"A QUANTUM CSENDJE","QUANTUM OF SOLACE",INTERCOM,2008/11/13,207397820,186528
HOLTODIGLAN,"GONE GIRL",INTERCOM,2014/10/02,207155791,168687
ŰRDONGÓ,BUMBLEBEE,"UIP DUNA FILM",2018/12/20,206073722,135222
"ARGYLLE: A SZUPERKÉM",ARGYLLE,UIP,2024/02/01,205784424,84303
"TURBÓ 3D","TURBO 3D",INTERCOM,2013/10/17,205513130,157941
"A KÖNYVELŐ","THE ACCOUNTANT",INTERCOM,2016/10/27,205086988,144384
"A ROSSZFIÚK","THE BAD GUYS ",UIP,2022/03/24,204991637,131050
"KONG - KOPONYASZIGET ","KONG: KOPONYA-SZIGET",INTERCOM,2017/03/09,204962327,128487
DOLITTLE,"DOLITTLE / THE VOYAGE OF DOCTOR DOLITTLE","UIP DUNA FILM",2020/01/16,204920187,131700
"ÉJSZAKAI JÁTÉK","GAME NIGHT",INTERCOM,2018/02/22,204029572,136134
"KÁOSZ KARÁCSONYRA","LOVE THE COOPERS",FREEMAN,2015/12/10,203994973,152803
"LARA CROFT:TOMB RAIDER",,"UIP DUNA FILM",2001/07/05,203923144,319733
"UTOLSÓ SZAMURÁJ","LAST SAMURAI",INTERCOM,2004/02/26,203731548,227869
"A KÉM, AKI DOBOTT ENGEM","THE SPY WHO DUMPED ME",FREEMAN,2018/08/16,203501049,147496
"EGY KUTYA NÉGY ÉLETE","A DOGS PURPOSE",FREEMAN,2017/01/26,203318846,154128
"I WANNA DANCE WITH SOMEBODY – WHITNEY HOUSTON TÖRTÉNETE","I WANNA DANCE WITH SOMEBODY  ",INTERCOM,2022/12/22,203107395,102463
"A PÁPA ÖRDÖGŰZŐJE","THE POPE'S EXORCIST ",INTERCOM,2023/04/06,202724519,98610
"ÉN ÉS ÉN MEG AZ IRÉN",,INTERCOM,2000/10/05,202340740,339349
"VERDÁK 3","CARS 3","FÓRUM HUNGARY",2017/06/15,202142792,155353
"ZÖLD KÖNYV - ÚTMUTATÓ AZ ÉLETHEZ","GREEN BOOK",ADS,2019/02/21,201689807,133782
"KING'S MAN - A KEZDETEK","THE KING'S MAN ",FORUM,2021/12/23,201563885,116392
"ALJAS NYOLCAS","THE HATEFUL EIGHT","FÓRUM HUNGARY",2016/01/07,201472187,147386
ARMAGEDDON,,INTERCOM,1998/09/10,200989158,495229
HOLIDAY,HOLIDAY,"UIP DUNA FILM",2006/12/14,200863966,200873
"BÉRGYILKOS A SZOMSZÉDOM",,"BEST HOLLYWOOD",2000/08/24,200303656,318144
"GODZILLA X KONG: AZ ÚJ BIRODALOM","GODZILLA X KONG: THE NEW EMPIRE",INTERCOM,2024/03/28,199682243,78250
KELLÉKFELESÉG,"JUST GO WITH IT",INTERCOM,2011/03/10,199681737,174120
"TÁNCOLÓ TALPAK","HAPPY FEET",INTERCOM,2006/12/21,199602339,222629
GRU,"DESPICABLE ME","UIP DUNA FILM",2010/11/04,199202355,153338
ÁLOMMELÓ,"SECOND ACT",FREEMAN,2018/12/13,199134605,134629
ENCANTO,ENCANTO,FORUM,2021/11/25,199104820,124873
WALL-E,WALL-E,"FÓRUM HUNGARY",2008/07/24,199030457,209520
"DEMÓNA: A SÖTÉTSÉG ÚRNŐJE","MALEFICENT: MISTRESS OF EVIL","FÓRUM HUNGARY",2019/10/17,198480108,136649
"A MINDEN6Ó","BRUCE ALMIGHTY",INTERCOM,2003/09/11,198273652,236758
"A KIRÁLY BESZÉDE","THE KINGS SPEECH","BUDAPEST FILM",2011/02/03,197364647,179617
SEVELED,SEVELED,INTERCOM,2019/12/05,197259695,132346
"A GÉP","PLANE ",FORUM,2023/01/26,197142793,93014
KÖNYVKLUB,"BOOK CLUB",FREEMAN,2018/05/31,197053395,141602
"COOL TÚRA",,"UIP DUNA FILM",2000/10/26,196880479,345007
"MERIDA, A BÁTOR",BRAVE,"FÓRUM HUNGARY",2012/08/02,196523223,151787
NAGYFIÚK,"GROWN UPS",INTERCOM,2010/07/29,195377229,182969
"MÁTRIX FELTÁMADÁSOK","THE MATRIX RESURRECTIONS ",INTERCOM,2021/12/23,195298697,108265
VOLT,BOLT,"FÓRUM HUNGARY",2009/01/29,194465265,169548
"VALENTIN NAP","VALENTINES DAY",INTERCOM,2010/02/11,193355610,174070
"MEGJÖTT APUCI","DADDY'S HOME","UIP DUNA FILM",2016/01/07,191959658,141250
SKORPIÓKIRÁLY,,"UIP DUNA FILM",2002/04/25,191799195,251710
"LEGO KALAND, A","LEGO MOVIE, THE",INTERCOM,2014/02/06,191607310,147162
"EXODUS - ISTENEK ÉS KIRÁLYOK","EXODUS: GODS AND KINGS",INTERCOM,2014/12/11,191141407,130562
"FÉRJ ÉS FÉRJ","I NOW PRONOUNCE YOU CHUCK &LARRY","UIP DUNA FILM",2007/09/06,190511005,189311
"MANCS ŐRJÁRAT: A FILM","PAW PATROL: THE MOVIE ",UIP,2021/08/19,190283823,132826
"TRÓPUSI VIHAR","TROPIC THUNDER","UIP DUNA FILM",2008/09/04,190102812,205026
300,,INTERCOM,2007/03/22,189729815,190128
"KINGSMAN: A TITKOS SZOLGÁLAT","KINGSMAN: SECRET SERVICE, THE",INTERCOM,2015/02/12,189408393,133449
HANCOCK,HANCOCK,INTERCOM,2008/07/02,189179719,178663
"TERMINATOR - MEGVÁLTÁS","TERMINATOR SALVATION",INTERCOM,2009/06/04,189047985,177457
KONTORLL,,"BUDAPEST FILM",2003/11/20,188073706,260159
MORBIUS,MORBIUS,INTERCOM,2022/03/31,187933235,105234
ELK*RTUK,ELK*RTUK,"MEGAFILM KFT.",2021/10/21,187295672,132695
"TERMINÁTOR: SÖTÉT VÉGZET","TERMINATOR: DARK FATE","FÓRUM HUNGARY",2019/10/31,187141901,118191
"ANNABELLE 3.","ANNABELLE COMES HOME",INTERCOM,2019/06/27,187138258,125619
"COMING OUT","COMING OUT",HUNGARICOM,2013/12/05,187106842,141850
"A LÁNY A VONATON","THE GIRL ON THE TRAIN",FREEMAN,2016/10/06,186998565,162313
TARZAN,,INTERCOM,1999/11/25,186513771,452234
ELYSIUM,ELYSIUM,INTERCOM,2013/07/15,186444858,140850
"THE SUICIDE SQUAD–AZ ÖNGYILKOS OSZTAG","THE SUICIDE SQUAD",INTERCOM,2021/08/05,186256301,114380
"ASTERIX AZ OLIMPIÁN","ASTERIX AUX JEUX OLIMPIQUES",SPI,2008/01/31,185852523,190480
"SONIC, A SÜNDISZNÓ",SONIC,"UIP DUNA FILM",2020/02/13,185252365,123314
"GEMINI MAN","GEMINI MAN","UIP DUNA FILM",2019/10/10,185226228,122890
FELHŐKARCOLÓ,SKYSCRAPER,"UIP DUNA FILM",2018/07/12,185152535,120115
GODZILLA,,INTERCOM,1998/08/27,184843433,492491
"MINDEN, MINDEN","EVERYTHING, EVERYTHING","FÓRUM HUNGARY",2017/08/03,184705421,144554
"NAGY SÁNDOR, A HÓDÍTÓ",ALEXANDER,INTERCOM,2004/12/09,184308913,212481
"9 1/2 RANDI",,"BUDAPEST FILM",2008/02/14,183849593,202485
HANNIBAL,,INTERCOM,2001/06/14,183742267,290204
"A HERCEGNŐ ÉS A BÉKA","THE PRINCESS AND THE FROG","FÓRUM HUNGARY",2009/12/24,183610207,187379
MESEAUTÓ,,CINEMASTAR,2000/12/14,182591818,304944
"PÓKEMBER   2","AMAZING SPIDER-MAN",INTERCOM,2004/08/12,182398310,222172
"A KARIB-TENGER KALÓZAI","PIRATES OF  THE CARIBBEAN",INTERCOM,2003/09/18,182397140,226829
"A MAJMOK BOLYGÓJA: A BIRODALOM","KINGDOM OF THE PLANET OF THE APES",FORUM,2024/05/09,182141619,73518
HARAG,FURY,FREEMAN,2014/10/23,181983141,136163
"AD ASTRA – ÚT A CSILLAGOKBA","AD ASTRA","FÓRUM HUNGARY",2019/09/19,181967455,116206
"TROLLOK: EGYÜTT A BANDA","TROLLS BAND TOGETHER",UIP,2023/10/26,181798340,102034
"MISSION: IMPOSSIBLE-FANTOM PROTOKOLL","MISSION: IMPOSSIBLE- GHOST PROTOCOL","UIP DUNA FILM",2011/12/15,181785038,147470
"UTAZÁS A REJTÉLYES SZIGETRE 3D","JOURNEY 2: THE MYSTERIOUS ISLAND 3D",INTERCOM,2012/02/23,181717880,125120
"GARFIELD 2","GARFIELD 2",INTERCOM,2006/08/03,181695988,245993
"OCEANS ELEVEN",,INTERCOM,2002/02/21,180400021,234394
KATONADOLOG,DOG,PROROM,2022/02/24,180326963,105521
"KÉMKÖLYKÖK 3D","SPY KIDS 3D: GAME OVER",SPI,2003/12/18,179957519,241940
"ÉN, A NŐ ÉS PLUSSZ EGY FŐ","YOU, ME AND DUPREE","UIP DUNA FILM",2006/09/07,179919290,182343
"AMERIKAI SZÉPSÉG",,"UIP DUNA FILM",2000/02/15,179684704,325491
"ANYÁK NAPJA","MOTHER'S DAY",FREEMAN,2016/04/28,179512337,129966
"ASTERIX ÉS OBELIX",,FLAMEX,1999/12/24,178831329,367849
"AZ ÚTVESZTŐ: HALÁLKÚRA","MAZE RUNNER: THE DEATH CURE","FÓRUM HUNGARY",2018/01/25,178229646,116041
"AZ ALKOTÓ","THE CREATOR",FORUM,2023/09/28,178157176,86068
"DUMB ÉS DUMBER KETTYÓ","DUMB AND DUMBER TO",FREEMAN,2014/12/11,177963963,134333
"NAGYPAPA HADMŰVELET","WAR WITH GRANDPA",PROROM,2020/09/17,177837372,117549
JETIKÖLYÖK,ABOMINABLE,"UIP DUNA FILM",2019/10/24,177684624,135863
"TÁNCOLÓ TALPAK  2.","HAPPY FEET: TWO",INTERCOM,2011/12/22,177505976,149911
"BEÉPÍTETT SZÉPSÉG",,INTERCOM,2001/04/12,177217686,266221
"RALPH LEZÚZZA A NETET","RALPH BREAKS THE INTERNET: WRECK-IT RALPH 2","FÓRUM HUNGARY",2019/01/10,176550048,122691
"40 NAP ÉS 40 ÉJSZAJKA",,"UIP DUNA FILM",2002/05/30,176459024,242678
"ANGRY BIRDS 2. – A FILM","THE ANGRY BIRDS MOVIE 2",INTERCOM,2019/08/08,176401416,128526
"STAR TERK - MINDENEN TÚL","STAR TREK BEYOND","UIP DUNA FILM",2016/07/21,175821742,116532
"HERKULES ",HERKULES,"FÓRUM HUNGARY",2014/07/24,175718478,119824
"A VÉGSŐ ÁLLOMÁS 3D ( 4 )","FINAL DESTINATION 4 3D",INTERCOM,2009/09/10,175507720,116127
ŰRVIHAR,GEOSTORM,INTERCOM,2017/10/19,175375888,120975
"JOHN WICK: 2. FELVONÁS","JOHN WICK: CHAPTER 2",FREEMAN,2017/02/23,174943595,119896
"STAR TREK : MINDENEN TÚL","STAR TREK BEYOND","UIP DUNA FILM",2016/07/21,174928550,115421
TROLLOK,TROLLS,INTERCOM,2016/10/27,174273710,134893
"TESTRŐL ÉS LÉLEKRŐL","TESTRŐL ÉS LÉLEKRŐL",MOZINET,2017/03/02,174140252,138228
"A NEMZET ARANYAI","A NEMZET ARANYAI",FORUM,2023/04/20,173906848,99474
"TRANSFORMERS: A FENEVADAK KORA","TRANSFORMERS: RISE OF THE BEASTS ",UIP,2023/06/08,173761710,85273
MACKÓTESTVÉR,"BROTHER BEAR",INTERCOM,2004/02/05,173711119,244286
"ÉJSZAKA A MÚZEUMBAN","NIGHT AT THE MUSEUM",INTERCOM,2007/01/18,173579920,173449
SZÁMKIVETETT,,"UIP DUNA FILM",2001/02/08,173537062,263428
"A HANGYA",ANT-MAN,"FÓRUM HUNGARY",2015/07/23,173531938,122038
"CSODÁLATOS ELME",,"UIP DUNA FILM",2002/02/28,173383256,242600
"EXPENDABLES - FELÁLDOZHATÓK 2.","EXPENDABLES 2",PROVIDEO,2012/08/30,172939887.8,140145
"A KAPTÁR - A TÚLVILÁG 3D","RESIDENT EVIL:AFTERLIFE 3D",INTERCOM,2010/09/10,172500832,114701
"HAVEROK FEGYVERBEN","WAR DOGS",INTERCOM,2016/08/18,171889563,127725
"SOKKAL TÖBB MINT TESTŐR","THE HITMANS BODYGUARD",FREEMAN,2017/08/24,171521875,122850
CÁPAMESE,"SHARK TALE","UIP DUNA FILM",2004/10/28,171443202,220689
"MAGIC MIKE UTOLSÓ TÁNCA","MAGIC MIKE'S LAST DANCE ",INTERCOM,2023/02/09,171383743,85763
"OCEANS THIRTEEN - A JÁTSZMA FOLYTATÓDIK","OCEANS THIRTEEN",INTERCOM,2007/07/26,170986442,185630
CHICAGO,CHICAGO,"UIP DUNA FILM",2003/03/20,170806572,215852
"HOGYAN VESZÍTSÜK EL EGY PASIT 10 NAP ALATT","HOW TO LOSE A GUYX IN 10 DAYS","UIP DUNA FILM",2003/05/08,170519194,223803
"MENNYEI KIRÁLYSÁG","KINGDOM OF HEAVEN",INTERCOM,2005/05/05,170354813,200703
TÁVKAPCS,CLICK,INTERCOM,2006/08/31,170199572,173269
"A KIS HABLEÁNY","THE LITTLE MERMAID ",FORUM,2023/05/25,170062200,86440
"OCEANS TWELVE - EGGYEL NŐ A TÉT","OCEANS TWELVE",INTERCOM,2004/12/23,170051178,189057
" A HIHETETLEN CSALÁD","THE INCREDIBLES",INTERCOM,2004/11/25,169787994,214512
"FÁK JÚ, TANÁR ÚR! 3.","FACK JU GÖHTE 3","BIG BANG MEDIA",2018/08/23,169619150,123772
"RENDES FICKÓK","THE NICE GUYS",FREEMAN,2016/05/26,169602246,117964
"ÓZ, A HATALMAS ","OZ, THE GREATEST","FÓRUM HUNGARY",2013/03/07,169349767,120256
