cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"VILÁGOK HARCA","WAR OF THE WORLDS","UIP DUNA FILM",2005/06/29,300019116,340678
"A DZSUNGEL KÖNYVE","THE JUNGLE BOOK","FÓRUM HUNGARY",2016/04/21,298747811,217769
"TAXI 3","TAXI 3",INTERCOM,2003/02/27,297795240,370314
"HALÁL A NÍLUSON","DEATH ON THE NILE ",FORUM,2022/02/17,297641561,169099
"ALKONYAT: HAJNALHASADÁS 1 RÉSZ","TWILIGHT SAGA - BREAKING DAWN 1.",PROVIDEO,2011/11/17,297149900,256920
"A HANGYA ÉS A DARÁZS: KVANTUMÁNIA","ANT-MAN AND THE WASP: QUANTUMANIA",FORUM,2023/02/16,296597533,139479
"SZEÁNSZ VELENCÉBEN","A HAUNTING IN VENICE",FORUM,2023/09/14,296576444,148756
"A GUCCI-HÁZ","HOUSE OF GUCCI",FORUM,2021/11/25,296493577,174536
"AZ APÁCA","THE NUN",INTERCOM,2018/09/06,296339215,201329
"LOGAN – FARKAS",LOGAN,INTERCOM,2017/03/02,296308913,205049
UTAZÓK,PASSENGERS,INTERCOM,2017/01/12,295110619,197289
ELVIS,ELVIS,INTERCOM,2022/06/23,294280729,171184
"A WALL STREET PILLANGÓI",HUSTLERS,FREEMAN,2019/09/26,292308815,197484
"SAUL FIA","SAUL FIA",MOZINET,2015/06/11,291537799,267394
"BRIDGET JONES NAPLÓJA 2. MINDJÁRT MEGŐRÜLÖK",,"UIP DUNA FILM",2004/11/11,290850176,329614
"MÁTRIX - FORRADALMAK","MATRRIX - REVOLUTION",INTERCOM,2003/11/06,290564417,352764
"KUNG FU PANDA","KUNG FU PANDA","UIP DUNA FILM",2008/07/03,290032152,312430
"MÚMIA 3","MUMMY 3","UIP DUNA FILM",2008/07/31,289782490,284283
"ÖT ÉJJEL FREDDY PIZZÁZÓJÁBAN","FIVE NIGHTS AT FREDDY’S",UIP,2023/11/02,287934906,147189
"MÁTRIX ",,INTERCOM,1999/08/05,287911498,588903
NÁSZ-AJÁNLAT,"THE PROPOSAL","FÓRUM HUNGARY",2009/06/18,287182627,270981
ÜVEG,GLASS,"FÓRUM HUNGARY",2019/01/17,286638488,186364
GARFIELD,GARFIELD,INTERCOM,2004/08/26,285667374,362092
MOSOLYOGJ,"SMILE ",UIP,2022/09/29,285070429,162583
"AZ EMBER, AKIT OTTÓNAK HÍVNAK","A MAN CALLED OTTO ",INTERCOM,2023/01/12,285040052,142968
